ID_NIL;NIL;Valido_dal;Valido_al;Fonte;Shape_Length;Shape_Area;OBJECTID;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
48;RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;8723.368714059716;2406306.0789698716;89;9.137259756389806;45.43846008524454;(45.43846008524454, 9.137259756389806)
64;TRENNO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;3309.9988004761994;489692.08283319284;90;9.101674754135612;45.49282208206156;(45.49282208206156, 9.101674754135612)
67;PORTELLO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;3800.750663482093;909602.2187448354;91;9.15394716028658;45.48449040970885;(45.48449040970885, 9.15394716028658)
81;BOVISASCA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;7105.469714553994;1578027.6494128618;92;9.156730615341903;45.51743260578181;(45.51743260578181, 9.156730615341903)
84;PARCO NORD;05/02/2020;Vigente;Milano 2030 - PGT Approvato;11741.71700512192;1532331.0035750333;93;9.184235146223243;45.52351366911545;(45.52351366911545, 9.184235146223243)
63;FIGINO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5622.522341274374;1424660.0739678987;94;9.07437556336504;45.49138092971466;(45.49138092971466, 9.07437556336504)
20;LORETO - CASORETTO - NOLO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5631.442413245651;1747499.4702872867;95;9.222229980723148;45.49094380273962;(45.49094380273962, 9.222229980723148)
76;QUARTO OGGIARO - VIALBA - MUSOCCO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;7138.355679851431;2776872.1958965803;96;9.137730995274502;45.51363591262143;(45.51363591262143, 9.137730995274502)
11;ISOLA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5082.707417608421;1322887.1157650698;97;9.189616816977022;45.490894189726816;(45.490894189726816, 9.189616816977022)
61;QUARTO CAGNINO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4648.169990780246;986354.2126550385;98;9.108096395182534;45.473739882611305;(45.473739882611305, 9.108096395182534)
60;STADIO - IPPODROMI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;8277.7341012033;3435177.5065797856;99;9.123833494981579;45.47964068640355;(45.47964068640355, 9.123833494981579)
62;QUINTO ROMANO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6962.785126622322;1645797.4355263906;100;9.087540557422475;45.47941820458817;(45.47941820458817, 9.087540557422475)
1;DUOMO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;7571.275543549523;2341615.5658866744;101;9.186948292279979;45.4637071790056;(45.4637071790056, 9.186948292279979)
4;GUASTALLA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6559.532771196047;1547962.2582041721;102;9.201891418977553;45.46321898787963;(45.46321898787963, 9.201891418977553)
57;SAN SIRO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4625.845036034832;984888.2778514986;103;9.138358051708028;45.47138150543701;(45.47138150543701, 9.138358051708028)
82;COMASINA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5383.612841729266;926681.5710625062;104;9.159968749114029;45.52644126889648;(45.52644126889648, 9.159968749114029)
43;TIBALDI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;3964.0774980431825;786184.5977734512;105;9.180458714017256;45.44034756313363;(45.44034756313363, 9.180458714017256)
13;GRECO - SEGNANO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;7468.531297259657;1768602.6100683715;106;9.209524108148505;45.50348849480835;(45.50348849480835, 9.209524108148505)
58;DE ANGELI - MONTE ROSA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5765.950196503235;1323028.5760155243;107;9.14841179010539;45.474877748722804;(45.474877748722804, 9.14841179010539)
78;FARINI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5085.569363482876;1010192.7439478323;108;9.1746051889376;45.49396349558565;(45.49396349558565, 9.1746051889376)
83;BRUZZANO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6441.288643296068;1670440.1319855356;109;9.172134196113767;45.52917650607474;(45.52917650607474, 9.172134196113767)
66;QT 8;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4892.534836559699;1024398.6533556812;110;9.136298520548369;45.487325665216595;(45.487325665216595, 9.136298520548369)
75;STEPHENSON;05/02/2020;Vigente;Milano 2030 - PGT Approvato;3582.570059132934;560084.4325808508;111;9.121393883345077;45.512246197662606;(45.512246197662606, 9.121393883345077)
47;CANTALUPA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5161.415348027854;926681.6847310886;112;9.157204243983253;45.42174119631634;(45.42174119631634, 9.157204243983253)
39;QUINTOSOLE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6740.830820525122;1058525.104513821;113;9.20475550391715;45.40341224751581;(45.40341224751581, 9.20475550391715)
8;PARCO SEMPIONE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;2966.9844750668763;470420.28463693266;114;9.17625108249191;45.47413075972383;(45.47413075972383, 9.17625108249191)
46;BARONA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6836.011433264195;2006248.7404270652;115;9.156192010684281;45.43235326838737;(45.43235326838737, 9.156192010684281)
71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;8375.003493794175;3426940.9637873205;116;9.143523144732995;45.49741873474477;(45.49741873474477, 9.143523144732995)
88;PARCO BOSCO IN CITTA';05/02/2020;Vigente;Milano 2030 - PGT Approvato;37072.98121120569;7834006.115166796;117;9.085756676935365;45.48467357113999;(45.48467357113999, 9.085756676935365)
16;GORLA - PRECOTTO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;9571.150603341543;3001918.554174836;118;9.22562952953172;45.51266020676104;(45.51266020676104, 9.22562952953172)
14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;10628.640922517478;4246804.958129313;119;9.196117214677958;45.5166955639815;(45.5166955639815, 9.196117214677958)
32;TRIULZO SUPERIORE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6923.734083161281;1389578.2319235853;120;9.249242809414778;45.42794057917587;(45.42794057917587, 9.249242809414778)
27;PTA ROMANA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4701.977202243952;1002755.6002922299;121;9.205140846826762;45.450400173934206;(45.450400173934206, 9.205140846826762)
30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;8775.587248579317;3821209.819521341;122;9.247377455340894;45.44914563394914;(45.44914563394914, 9.247377455340894)
6;PORTA TICINESE - CONCA DEL NAVIGLIO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5293.159061792193;1255017.3143643944;123;9.181311467349465;45.45047504477105;(45.45047504477105, 9.181311467349465)
59;TRE TORRI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;2995.497098931801;513296.9410420727;124;9.15572844558148;45.47695132963467;(45.47695132963467, 9.15572844558148)
87;ASSIANO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;16203.75541035855;5840941.710885698;125;9.061547052071548;45.44936769478472;(45.44936769478472, 9.061547052071548)
37;MORIVIONE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;3772.620412883074;817945.7898120523;126;9.193815135529032;45.44097203440086;(45.44097203440086, 9.193815135529032)
38;VIGENTINO - Q.RE FATIMA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6479.2363478436755;1853163.4059392265;127;9.201806599534502;45.42952128200487;(45.42952128200487, 9.201806599534502)
15;BICOCCA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6359.42537113571;1529498.3324541415;128;9.212812094868472;45.51897868935457;(45.51897868935457, 9.212812094868472)
29;ORTOMERCATO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4854.245817425026;1402466.654797046;129;9.230270258780006;45.453416646548895;(45.453416646548895, 9.230270258780006)
35;LODI - CORVETTO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;9078.67784954078;3638954.8699819576;130;9.228445660303333;45.43648351424041;(45.43648351424041, 9.228445660303333)
54;MUGGIANO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;3066.950888875838;444201.65672425966;131;9.071629817214601;45.451403153118775;(45.451403153118775, 9.071629817214601)
44;PORTA TICINESE - CONCHETTA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5966.626337953672;1483871.8505437386;132;9.16924222470242;45.44851659520073;(45.44851659520073, 9.16924222470242)
28;UMBRIA - MOLISE - CALVAIRATE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4912.251168498338;1192351.6694366664;133;9.21889832672583;45.452252318727226;(45.452252318727226, 9.21889832672583)
74;ROSERIO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6789.327807305384;707630.0751857857;134;9.12272855365216;45.52024804431676;(45.52024804431676, 9.12272855365216)
40;RONCHETTO DELLE RANE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;2223.117187262569;188863.44696488022;135;9.181961364439005;45.40110707519872;(45.40110707519872, 9.181961364439005)
65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;11053.767762407786;3895679.313395549;136;9.11170053522264;45.496595656791214;(45.496595656791214, 9.11170053522264)
31;MONLUE' - PONTE LAMBRO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;9835.924370734014;2629017.6065323283;137;9.261193165687864;45.44944717949403;(45.44944717949403, 9.261193165687864)
19;PADOVA - TURRO - CRESCENZAGO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;7801.535584356474;2061867.450298829;138;9.234236548899164;45.50161536586111;(45.50161536586111, 9.234236548899164)
41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;9810.649561205004;3316447.6607358987;139;9.171188127118214;45.41168829367425;(45.41168829367425, 9.171188127118214)
51;PORTA MAGENTA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4904.844510254781;1306401.3967037427;140;9.15605102140873;45.462063135678996;(45.462063135678996, 9.15605102140873)
56;FORZE ARMATE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;10211.799908180172;3206782.8217585417;141;9.113829640024834;45.46248943659613;(45.46248943659613, 9.113829640024834)
70;GHISOLFA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4551.67697887331;1051412.4707131968;142;9.162986375916965;45.491002414177856;(45.491002414177856, 9.162986375916965)
34;CHIARAVALLE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;2927.6910444556493;309494.1899401473;143;9.239611169055385;45.41674897816907;(45.41674897816907, 9.239611169055385)
85;PARCO DELLE ABBAZIE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;33829.22146348793;13733840.504780184;144;9.205638763202876;45.411618390402516;(45.411618390402516, 9.205638763202876)
12;MACIACHINI - MAGGIOLINA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6479.190755949713;1674917.6277235162;145;9.19670748894548;45.498270808002076;(45.498270808002076, 9.19670748894548)
52;BANDE NERE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6776.458948197668;2663780.197130018;146;9.139080183515903;45.459914167880136;(45.459914167880136, 9.139080183515903)
23;LAMBRATE - ORTICA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;8040.238631609977;3093947.4678909876;147;9.24965982173987;45.47929215136517;(45.47929215136517, 9.24965982173987)
42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;8831.94039737697;3232115.1729171877;148;9.178438377136954;45.42994039575586;(45.42994039575586, 9.178438377136954)
5;PORTA VIGENTINA - PORTA LODOVICA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4710.382643028285;1135196.4109476246;149;9.19244574588716;45.4509500236955;(45.4509500236955, 9.19244574588716)
36;SCALO ROMANA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;7108.599989467197;1736688.8318760204;150;9.209107182939322;45.43904176531314;(45.43904176531314, 9.209107182939322)
26;XXII MARZO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5943.695768006777;1637437.814391759;151;9.214329786644296;45.461836303105194;(45.461836303105194, 9.214329786644296)
18;CIMIANO - ROTTOLE - Q.RE FELTRE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;12303.768174767436;4971419.176599596;152;9.252020309283273;45.49825032110556;(45.49825032110556, 9.252020309283273)
79;DERGANO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4815.609741374745;1358563.6697590537;153;9.177952817373017;45.502056253706165;(45.502056253706165, 9.177952817373017)
55;BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;11963.033873403132;3471750.0732819294;154;9.087213936872251;45.45959838917478;(45.45959838917478, 9.087213936872251)
24;PARCO FORLANINI - CAVRIANO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;7988.767807074055;2926006.1170099527;155;9.255798181102366;45.466975224347195;(45.466975224347195, 9.255798181102366)
3;GIARDINI P.TA VENEZIA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;2171.18638788231;249637.38926598284;156;9.200230930815733;45.474563740377356;(45.474563740377356, 9.200230930815733)
9;PORTA GARIBALDI - PORTA NUOVA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4451.925001580444;785638.4123541726;157;9.190579260025569;45.48359144386439;(45.48359144386439, 9.190579260025569)
80;AFFORI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6470.396968575079;2070815.5265043778;158;9.17129286248006;45.51392601251056;(45.51392601251056, 9.17129286248006)
21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;7011.870186997233;2877433.512993208;159;9.214489159464714;45.477025295850034;(45.477025295850034, 9.214489159464714)
45;MONCUCCO - SAN CRISTOFORO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5544.700088117015;1596113.7828250346;160;9.158860147541064;45.44203436710869;(45.44203436710869, 9.158860147541064)
10;STAZIONE CENTRALE - PONTE SEVESO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;7503.351720136666;1556018.749783852;161;9.205795160720852;45.48758027652806;(45.48758027652806, 9.205795160720852)
77;BOVISA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5740.9705812980865;1913060.3800404018;162;9.159979194730445;45.503807880715414;(45.503807880715414, 9.159979194730445)
72;MAGGIORE - MUSOCCO - CERTOSA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;8436.633457716096;3030310.8227537908;163;9.114639953307037;45.507028207682225;(45.507028207682225, 9.114639953307037)
49;GIAMBELLINO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;7846.440918873474;1968284.7445451992;164;9.136926677684658;45.44706221132671;(45.44706221132671, 9.136926677684658)
22;CITTA' STUDI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6007.783216602849;2207404.065911436;165;9.23081584702025;45.47727238366735;(45.47727238366735, 9.23081584702025)
50;PORTA GENOVA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4121.169470400216;996748.6866493264;166;9.161885408137024;45.45396673856333;(45.45396673856333, 9.161885408137024)
25;CORSICA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4550.662611977279;1081288.8607873018;167;9.231142862386625;45.46404218082577;(45.46404218082577, 9.231142862386625)
7;MAGENTA - S. VITTORE;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5492.852405757656;1390094.3365620766;168;9.170394420770785;45.46456049193307;(45.46456049193307, 9.170394420770785)
73;CASCINA MERLATA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;8989.747705209566;1730639.610659607;169;9.102744174476006;45.520279218009236;(45.520279218009236, 9.102744174476006)
69;SARPI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6456.320879227869;1811846.049764577;170;9.172503464422881;45.48337125091293;(45.48337125091293, 9.172503464422881)
86;PARCO DEI NAVIGLI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;15376.638059138086;3623149.413644675;171;9.141988761482349;45.42332091760225;(45.42332091760225, 9.141988761482349)
68;PAGANO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5221.836695802372;1289685.5619241334;172;9.162855682067457;45.47353525514572;(45.47353525514572, 9.162855682067457)
2;BRERA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5461.667196253114;1637332.9159284558;173;9.188156842968887;45.474252103628764;(45.474252103628764, 9.188156842968887)
33;ROGOREDO - SANTA GIULIA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6012.496434607579;1200116.3812189642;174;9.243522262264957;45.436671832234076;(45.436671832234076, 9.243522262264957)
17;ADRIANO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;9276.875746833064;2433357.5088807535;175;9.248355570020294;45.51409296986853;(45.51409296986853, 9.248355570020294)
53;LORENTEGGIO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;8442.031660343651;2644338.101227755;176;9.11932334730236;45.45135286039047;(45.45135286039047, 9.11932334730236)
